Alias,ID,Name,Year,,
BK01,(R1),Faith Based Food Distribution & Dev. Corp,FY10,,
BK01,(R1),Faith Based Food Distribution & Dev. Corp,FY11,,
BK01,(R1),Faith Based Food Distribution & Dev. Corp,FY12,,
BK02,(R2),Cornerstone SDA Church,FY10,,
BK02,(R2),Cornerstone SDA Church,FY11,,
BK02,(R2),Cornerstone SDA Church,FY12,,
BK02,(R2),Cornerstone SDA Church,FY13,,
BK02,(R2),Cornerstone SDA Church,FY14,,
BK03,(R4),Teen Challenge,FY10,,
BK03,(R4),Teen Challenge,FY11,,
BK03,(R4),Teen Challenge,FY12,,
BK03,(R4),Teen Challenge,FY13,,
BK03,(R4),Teen Challenge,FY14,,
BK04,(R6),Hope City Empowerment Ctr - Beulah Church Nazarene,FY10,,
BK04,(R6),Hope City Empowerment Ctr - Beulah Church Nazarene,FY11,,
BK04,(R6),Hope City Empowerment Ctr - Beulah Church Nazarene,FY12,,
BK04,(R6),Hope City Empowerment Ctr - Beulah Church Nazarene,FY13,,
BK04,(R6),Hope City Empowerment Ctr - Beulah Church Nazarene,FY14,,
BK06,(R10),"Park Slope Christian Help, Inc (CHIPS)",FY10,,
BK06,(R10),"Park Slope Christian Help, Inc (CHIPS)",FY11,,
BK06,(R10),"Park Slope Christian Help, Inc (CHIPS)",FY12,,
BK06,(R10),"Park Slope Christian Help, Inc (CHIPS)",FY13,,
BK06,(R10),Park Slope Christian Help Inc (CHIPS),FY14,,
BK08,(R14),Greater Unified Freewill Baptist Church,FY10,,
BK08,(R14),Greater Unified Freewill Baptist Church,FY11,,
BK08,(R14),Greater Unified Freewill Baptist Church,FY12,,
BK08,(R14),Greater Unified Freewill Baptist Church,FY13,,
BK08,(R14),Greater Unified Freewill Baptist Church,FY14,,
BK09,(R16),St. Mark's Church of Christ,FY10,,
BK09,(R16),St. Mark's Church of Christ,FY11,,
BK09,(R16),St. Mark's Church of Christ,FY12,,
BK10,(R17),Calvary UFW Baptist Church,FY10,,
BK10,(R17),Calvary UFW Baptist Church,FY11,,
BK10,(R17),Calvary UFW Baptist Church,FY12,,
BK10,(R17),Calvary UFW Baptist Church,FY13,,
BK10,(R17),Calvary UFW Baptist Church,FY14,,
BK101,(R19),Anchor House Women's Facility,FY10,,
BK101,(R19),Anchor House Women's Facility,FY11,,
BK101,(R19),Anchor House Women's Facility,FY12,,
BK104,(R21),Caribbean American SteelPan Ed. Center,FY10,,
BK104,(R21),Caribbean American SteelPan Ed. Center,FY11,,
BK104,(R21),Caribbean American SteelPan Ed. Center,FY12,,
BK104,(R21),Caribbean American SteelPan Ed. Center,FY13,,
BK104,(R21),Caribbean American SteelPan Ed. Center,FY14,,
BK105,(R22),Family Renaissance Inc.,FY10,,
BK105,(R22),Family Renaissance Inc.,FY11,,
BK105,(R22),Family Renaissance Inc.,FY12,,
BK107,(R24),Hazel Brooks Senior Center,FY10,,
BK107,(R24),Hazel Brooks Senior Center,FY11,,
BK107,(R24),Hazel Brooks Senior Center,FY12,,
BK107,(R24),Hazel Brooks Senior Center,FY13,,
BK107,(R24),Hazel Brooks Senior Center,FY14,,
BK108,(R25),Emmanuel Church,FY10,,
BK108,(R25),Emmanuel Church,FY11,,
BK108,(R25),Emmanuel Church,FY12,,
BK109,(R26),"Urban Strategies, Inc.",FY10,,
BK109,(R26),"Urban Strategies, Inc.",FY11,,
BK109,(R26),"Urban Strategies, Inc.",FY12,,
BK109,(R26),"Urban Strategies, Inc.",FY13,,
