Active EFROS 3.2014,,,,,
EFRO ID,Account Number (Agency),Agency Alias (Agency),Agency,Program Type,Manual Entry
83993,R1,BK01,Faith Based Food Distribution & Dev. Corp,Food Pantry,y
80236,R10,BK06,Park Slope Christian Help Inc (CHIPS),Soup Kitchen,n
81178,R10,BK06,Park Slope Christian Help Inc (CHIPS),Food Pantry,n
81514,R101,BK177,Newman Memorial United Methodist Church,Food Pantry,n
83582,R101,BK177,Newman Memorial United Methodist Church,Soup Kitchen,n
82364,R102,BK178,Union Baptist Church Community,Soup Kitchen,n
83338,R102,BK178,Union Baptist Church Community,Food Pantry,n
83616,R104,BK180,New Life Tabernacle Inc.- Family Life Center,Food Pantry,y
81308,R105,BK181,Agape Social Services-Beulah Church,Food Pantry,n
81357,R105,BK181,Agape Social Services-Beulah Church,Soup Kitchen,n
80357,R107,BK183,SA - Sunset Park Corps,Food Pantry,n
83082,R107,BK183,SA - Sunset Park Corps,Soup Kitchen,n
84664,R108,BK184,ACTS Community Development Corps,Soup Kitchen,n
84948,R108,BK184,ACTS Community Development Corps,Food Pantry,n
82122,R109,BK185,Rescue Ministries Brooklyn,Food Pantry,y
84342,R110,BK186,Worldwide Evangelical Outreach,Food Pantry,n
84738,R111,BK187,Good News Deliverance Tabernacle,Food Pantry,n
81987,R112,BK188,Brownsville SDA Church,Food Pantry,n
82877,R114,BK19,Euclid 500 Block Association,Food Pantry,y
85089,R118,BK193,Overcoming-Love Ministries Pulaski Family Residence,Shelter,n
81698,R119,BK194,Movement of Pentecostal,Food Pantry,n
80299,R121,BK196,Horeb SDA Church - Food Pantry,Food Pantry,n
84759,R122,BK197,Brooklyn Rescue Mission,Food Pantry,n
83318,R123,BK198,Sanctified Church of God,Food Pantry,y
84758,R124,BK199,Bethel Sunshine Camp,Food Pantry,n
80413,R125,BK20,The Center for Family Life,Food Pantry,n
81352,R126,BK200,Child Development Support Corporation,Food Pantry,n
80332,R127,BK21,Neighbors Together,Soup Kitchen,n
81089,R129,BK22,Center for Elimination of Violence,Food Pantry,y
84305,R132,BK23,Upper Room Gospel Baptist Church,Food Pantry,n
84306,R132,BK23,Upper Room Gospel Baptist Church,Soup Kitchen,n
84611,R133,BK24,Overcoming-Love Ministries,Food Pantry,n
80364,R134,BK25,SA - Bushwick Corps,Soup Kitchen,n
81057,R134,BK25,SA - Bushwick Corps,Food Pantry,n
